                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0106,                 1.0048,                 1.4182,                0.84169,                0.71449,                0.83473,                 0.6031,                 1.0416,                 1.3163,                 1.4064,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.0071,                0.99892,                 1.4159,                0.84053,                0.71307,                0.82541,                0.59766,                 1.0421,                 1.1881,                 1.4138,               0.008317,               0.008317,               0.008317
                     37,                0.99774,                0.98208,                 1.4149,                0.85832,                0.72761,                0.83397,                0.60675,                 1.0344,                  1.388,                 1.4086,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0012,                 0.9867,                 1.4105,                0.85723,                0.75787,                 0.8537,                0.62058,                 1.0116,                 1.1348,                 1.3727,               0.008218,               0.008218,               0.008218
                     39,                0.99345,                0.97809,                 1.4043,                 0.8481,                0.75142,                0.85547,                0.62095,                  1.026,                 1.2138,                 1.3961,              0.0081685,              0.0081685,              0.0081685
                     40,                 0.9836,                0.96308,                 1.3966,                0.85098,                0.74292,                0.85173,                0.61622,                 1.0228,                 1.1725,                 1.3962,               0.008119,               0.008119,               0.008119
                     41,                0.98188,                0.96227,                 1.3968,                0.84764,                0.75313,                0.85314,                 0.6249,                 1.0083,                 1.1226,                 1.3759,              0.0080695,              0.0080695,              0.0080695
                     42,                0.98625,                0.96516,                 1.3914,                0.84896,                 0.7648,                0.85668,                0.62587,                 1.0014,                  1.082,                 1.3683,                0.00802,                0.00802,                0.00802
                     43,                0.97313,                0.95601,                 1.3903,                0.85578,                0.76246,                0.85904,                 0.6253,                 1.0127,                 1.1372,                 1.3768,              0.0079705,              0.0079705,              0.0079705
                     44,                0.98278,                0.95439,                 1.3898,                0.85802,                0.74794,                 0.8586,                0.62721,                 1.0113,                0.95767,                 1.3774,               0.007921,               0.007921,               0.007921
                     45,                   0.98,                 0.9365,                 1.3869,                0.87874,                0.74634,                0.85913,                0.62995,                0.99924,                 1.0025,                 1.3603,              0.0078715,              0.0078715,              0.0078715
                     46,                0.96943,                0.93504,                  1.379,                0.86771,                0.75416,                0.86602,                0.63859,                0.98965,                 1.0401,                 1.3538,               0.007822,               0.007822,               0.007822
