                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89639,                 0.7893,                 1.3438,                0.88404,                0.80644,                0.89938,                0.69192,                0.89606,                0.70297,                 1.2919,              0.0083665,              0.0083665,              0.0083665
                     36,                0.88806,                 0.7819,                 1.3407,                0.87104,                0.81908,                0.89622,                0.69473,                0.88319,                0.77219,                 1.2838,               0.008317,               0.008317,               0.008317
                     37,                0.88137,                0.77389,                  1.337,                0.86594,                0.83025,                0.89942,                0.69563,                0.87444,                0.82869,                 1.2675,              0.0082675,              0.0082675,              0.0082675
                     38,                0.87717,                0.77487,                 1.3344,                0.89534,                0.83499,                0.91458,                  0.713,                0.85796,                0.71959,                 1.2498,               0.008218,               0.008218,               0.008218
                     39,                 0.8674,                0.75827,                 1.3252,                0.86441,                0.82955,                 0.9035,                0.70199,                0.86073,                0.79314,                 1.2621,              0.0081685,              0.0081685,              0.0081685
                     40,                0.86232,                 0.7467,                 1.3162,                0.88548,                0.83466,                0.90738,                0.70697,                0.86212,                0.79309,                 1.2606,               0.008119,               0.008119,               0.008119
                     41,                0.85496,                 0.7367,                 1.3121,                0.86675,                0.84832,                0.90667,                0.70811,                0.86873,                 0.7472,                 1.2665,              0.0080695,              0.0080695,              0.0080695
                     42,                0.85615,                 0.7429,                 1.3119,                 0.8792,                0.83351,                0.90876,                0.71074,                 0.8543,                0.67667,                 1.2572,                0.00802,                0.00802,                0.00802
                     43,                0.84856,                0.73236,                 1.3085,                0.87257,                0.83469,                0.90392,                 0.7098,                0.85276,                0.67427,                 1.2556,              0.0079705,              0.0079705,              0.0079705
                     44,                0.85071,                0.73077,                  1.306,                0.87938,                0.84941,                0.91596,                0.71793,                0.84923,                0.63555,                 1.2517,               0.007921,               0.007921,               0.007921
                     45,                0.84811,                 0.7169,                 1.3057,                0.90325,                0.83022,                0.91689,                0.72177,                0.83897,                0.61392,                 1.2382,              0.0078715,              0.0078715,              0.0078715
                     46,                0.83433,                0.71019,                 1.2931,                0.88065,                0.84049,                0.91348,                0.72293,                0.83216,                0.67948,                 1.2395,               0.007822,               0.007822,               0.007822
                     47,                0.83069,                  0.702,                 1.2904,                0.89441,                0.85482,                0.91931,                0.72824,                 0.8316,                0.63445,                 1.2357,              0.0077725,              0.0077725,              0.0077725
                     48,                0.82877,                0.71314,                 1.2943,                0.89545,                0.85671,                0.92514,                0.73252,                0.82754,                0.60097,                 1.2346,               0.007723,               0.007723,               0.007723
                     49,                0.82491,                0.69302,                 1.2854,                0.89712,                0.84499,                0.92144,                0.72874,                0.81867,                0.60397,                 1.2213,              0.0076735,              0.0076735,              0.0076735
                     50,                0.81708,                0.68787,                 1.2833,                0.89381,                0.84091,                0.91784,                0.72555,                0.82626,                0.60491,                 1.2298,               0.007624,               0.007624,               0.007624
                     51,                 0.8127,                0.68711,                 1.2834,                0.88824,                0.85572,                0.91803,                0.72946,                0.82829,                0.60897,                 1.2329,              0.0075745,              0.0075745,              0.0075745
                     52,                0.80788,                0.67136,                 1.2716,                0.90477,                0.85517,                0.92522,                0.73792,                0.82093,                0.59941,                 1.2227,               0.007525,               0.007525,               0.007525
                     53,                0.79808,                0.66854,                 1.2706,                0.88692,                0.86986,                0.92737,                  0.737,                0.82314,                0.57069,                 1.2273,              0.0074755,              0.0074755,              0.0074755
                     54,                0.80038,                0.67748,                 1.2725,                0.89709,                0.85981,                  0.928,                0.74065,                0.81264,                0.58192,                 1.2189,               0.007426,               0.007426,               0.007426
                     55,                0.80477,                0.67832,                 1.2755,                0.89953,                0.86246,                0.92682,                0.73909,                0.81371,                0.61117,                 1.2205,              0.0073765,              0.0073765,              0.0073765
